Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        148   93 00025A60 GetConsoleAliasesA
        149   94 00025830 GetConsoleAliasesLengthA
        150   95 00025820 GetConsoleAliasesLengthW
        151   96 00025A40 GetConsoleAliasesW
        152   97 0002F670 GetConsoleCP
        153   98 00026040 GetConsoleCommandHistoryA
        154   99 00025EA0 GetConsoleCommandHistoryLengthA
        155   9A 00025E90 GetConsoleCommandHistoryLengthW
        156   9B 00026020 GetConsoleCommandHistoryW
        157   9C 0002EB40 GetConsoleCursorInfo
        158   9D 0002BC30 GetConsoleDisplayMode
        159   9E 0002ECF0 GetConsoleFontInfo
        160   9F 0002EE20 GetConsoleFontSize
        161   A0 0002BAD0 GetConsoleHardwareState
        162   A1 00027940 GetConsoleInputWaitHandle
        163   A2 0002E7B0 GetConsoleMode
        164   A3 0002F740 GetConsoleOutputCP
        165   A4 0002EA30 GetConsoleScreenBufferInfo
        166   A5 00026220 GetConsoleTitleA
        167   A6 00026240 GetConsoleTitleW
        168   A7 0002EEA0 GetCurrentConsoleFont
        169   A8 00003400 GetCurrentDirectoryA
        170   A9 00003480 GetCurrentDirectoryW
        171   AA 000183D0 GetCurrentProcess
        172   AB 000183E0 GetCurrentProcessId
        173   AC 0001A7C0 GetCurrentThread
        174   AD 0001A7D0 GetCurrentThreadId
        175   AE 00032FC0 GetDateFormatW
        176   AF 00014A50 GetDiskFreeSpaceA
        177   B0 00014AE0 GetDiskFreeSpaceW
        178   B1 00013B60 GetDriveTypeA
        179   B2 00013BE0 GetDriveTypeW
        180   B3 00017AE0 GetEnvironmentStrings
        181   B4 00017AF0 GetEnvironmentVariableA
        182   B5 00017C00 GetEnvironmentVariableW
        183   B6 00017740 GetExitCodeProcess
        184   B7 0001A780 GetExitCodeThread
        185   B8 0000B7C0 GetFileAttributesA
        186   B9 0000B840 GetFileAttributesW
        187   BA 0000A950 GetFileInformationByHandle
        188   BB 0000AF10 GetFileSize
        189   BC 0000AAD0 GetFileTime
        190   BD 0000A220 GetFileType
        191   BE 00003280 GetFullPathNameA
        192   BF 000033E0 GetFullPathNameW
