Service DLL | DLL taking dependency
appinfo.dll: appinfoext.dll
WINHTTP.dll: DeviceMetadataRetrievalClient.dll
WINHTTP.dll: diagtrack.dll
WINHTTP.dll: dmcmnutils.dll
WINHTTP.dll: dmcsps.dll
WINHTTP.dll: dmenrollengine.dll
WINHTTP.dll: domgmt.dll
WINHTTP.dll: dosvc.dll
WINHTTP.dll: dot3mm.dll
WINHTTP.dll: dsreg.dll
WINHTTP.dll: edgehtml.dll
WINHTTP.dll: edputil.dll
WINHTTP.dll: efscore.dll
WINHTTP.dll: EnterpriseAppMgmtSvc.dll
WINHTTP.dll: EsclProtocol.dll
WINHTTP.dll: EsclScan.dll
WINHTTP.dll: EthernetMediaManager.dll
WINHTTP.dll: facecredentialprovider.dll
WINHTTP.dll: Facilitator.dll
WINHTTP.dll: fdSSDP.dll
WINHTTP.dll: FlightSettings.dll
WINHTTP.dll: FontProvider.dll
WINHTTP.dll: fveskybackup.dll
WINHTTP.dll: HashtagDS.dll
WINHTTP.dll: hnetcfg.dll
WINHTTP.dll: httpprxm.dll
WINHTTP.dll: HttpsDataSource.dll
WINHTTP.dll: ieframe.dll
WINHTTP.dll: igdDiag.dll
WINHTTP.dll: inetpp.dll
WINHTTP.dll: InstallService.dll
WINHTTP.dll: invagent.dll
WINHTTP.dll: ipnathlp.dll
WINHTTP.dll: IppCommon.dll
WINHTTP.dll: kerberos.dll
WINHTTP.dll: laps.dll
WINHTTP.dll: LicenseManager.dll
WINHTTP.dll: LocationFramework.dll
WINHTTP.dll: lpasvc.dll
WINHTTP.dll: MapConfiguration.dll
WINHTTP.dll: MapsStore.dll
WINHTTP.dll: MbaeApi.dll
WINHTTP.dll: McpManagementService.dll
WINHTTP.dll: MCRecvSrc.dll
WINHTTP.dll: MdmCommon.dll
WINHTTP.dll: MdmDiagnostics.dll
WINHTTP.dll: mdmregistration.dll
WINHTTP.dll: mfnetcore.dll
WINHTTP.dll: mfnetsrc.dll
WINHTTP.dll: MicrosoftAccountTokenProvider.dll
WINHTTP.dll: MicrosoftAccountWAMExtension.dll
WINHTTP.dll: MitigationClient.dll
WINHTTP.dll: moshostcore.dll
WINHTTP.dll: mprddm.dll
WINHTTP.dll: msdrm.dll
WINHTTP.dll: mshtml.dll
WINHTTP.dll: mstscax.dll
WINHTTP.dll: msxml3.dll
WINHTTP.dll: msxml6.dll
WINHTTP.dll: NcaSvc.dll
WINHTTP.dll: ncsi.dll
WINHTTP.dll: netcorehc.dll
WINHTTP.dll: netprofmsvc.dll
WINHTTP.dll: networkhelper.dll
WINHTTP.dll: NetworkMobileSettings.dll
WINHTTP.dll: NetworkProxyCsp.dll
WINHTTP.dll: ngcrecovery.dll
WINHTTP.dll: nlahc.dll
WINHTTP.dll: nlasvc.dll
WINHTTP.dll: OneSettingsClient.dll
WINHTTP.dll: pcasvc.dll
WINHTTP.dll: pcwutl.dll
WINHTTP.dll: PeerDistHttpTrans.dll
WINHTTP.dll: prauthproviders.dll
WINHTTP.dll: provcore.dll
WINHTTP.dll: PushToInstall.dll
WINHTTP.dll: qmgr.dll
WINHTTP.dll: QualityUpdateAssistant.dll
WINHTTP.dll: rasapi32.dll
WINHTTP.dll: rascustom.dll
WINHTTP.dll: rdpbase.dll
WINHTTP.dll: RdpRelayTransport.dll
WINHTTP.dll: ResetEngine.dll
WINHTTP.dll: rpchttp.dll
WINHTTP.dll: sdiagprv.dll
WINHTTP.dll: sedplugins.dll
WINHTTP.dll: SetProxyCredential.dll
WINHTTP.dll: SettingsHandlers_nt.dll
WINHTTP.dll: SettingSyncDownloadHelper.dll
WINHTTP.dll: setupcln.dll
WINHTTP.dll: sppcext.dll
WINHTTP.dll: ssdpsrv.dll
WINHTTP.dll: sstpsvc.dll
WINHTTP.dll: storewuauth.dll
WINHTTP.dll: StorSvc.dll
WINHTTP.dll: svf.dll
WINHTTP.dll: syncutil.dll
WINHTTP.dll: tellib.dll
WINHTTP.dll: TenantRestrictionsPlugin.dll
WINHTTP.dll: TpmCoreProvisioning.dll
WINHTTP.dll: TransportDSA.dll
WINHTTP.dll: TSWorkspace.dll
WINHTTP.dll: upnp.dll
WINHTTP.dll: upnphost.dll
WINHTTP.dll: upshared.dll
WINHTTP.dll: UserDeviceRegistration.Ngc.dll
WINHTTP.dll: WaaSAssessment.dll
WINHTTP.dll: WaaSMedicSvc.dll
WINHTTP.dll: wcmsvc.dll
WINHTTP.dll: WebClnt.dll
WINHTTP.dll: wer.dll
WINHTTP.dll: whhelper.dll
WINHTTP.dll: WiFiConfigSP.dll
WINHTTP.dll: wifinetworkmanager.dll
WINHTTP.dll: Win32CompatibilityAppraiserCSP.dll
WINHTTP.dll: Windows.ApplicationModel.Store.dll
WINHTTP.dll: Windows.Graphics.Printing.Workflow.dll
WINHTTP.dll: Windows.Management.ModernDeployment.ConfigProviders.dll
WINHTTP.dll: Windows.Management.Service.dll
WINHTTP.dll: Windows.Media.Protection.PlayReady.dll
WINHTTP.dll: Windows.Media.Streaming.dll
WINHTTP.dll: Windows.Networking.Sockets.PushEnabledApplication.dll
WINHTTP.dll: winethc.dll
WINHTTP.dll: winhttpcom.dll
WINHTTP.dll: winjson.dll
WINHTTP.dll: winmde.dll
WINHTTP.dll: winmsipc.dll
WINHTTP.dll: WLanConn.dll
WINHTTP.dll: WlanMediaManager.dll
WINHTTP.dll: WlanMM.dll
WINHTTP.dll: wlidsvc.dll
WINHTTP.dll: wmp.dll
WINHTTP.dll: WorkfoldersControl.dll
WINHTTP.dll: workfolderssvc.dll
WINHTTP.dll: Wpc.dll
WINHTTP.dll: WpcDesktopMonSvc.dll
WINHTTP.dll: WpcRefreshTask.dll
WINHTTP.dll: WpcWebFilter.dll
WINHTTP.dll: wpncore.dll
WINHTTP.dll: wpnprv.dll
WINHTTP.dll: wscapi.dll
WINHTTP.dll: wscsvc.dll
WINHTTP.dll: WSDApi.dll
WINHTTP.dll: WsdProviderUtil.dll
WINHTTP.dll: WsmSvc.dll
WINHTTP.dll: wuaueng.dll
WINHTTP.dll: wwansvc.dll
WINHTTP.dll: XblAuthManager.dll
WINHTTP.dll: XblGameSaveExt.dll
WINHTTP.dll: XboxNetApiSvc.dll
WsmSvc.DLL: pwrshplugin.dll
WsmSvc.DLL: wecsvc.dll
WsmSvc.DLL: wevtfwd.dll
WsmSvc.DLL: winrscmd.dll
WsmSvc.DLL: WsmAgent.dll
WsmSvc.DLL: WSManMigrationPlugin.dll
WsmSvc.DLL: WsmAuto.dll
WsmSvc.DLL: WsmWmiPl.dll
