
Microsoft (R) EXE File Header Utility  Version 3.20
Copyright (C) Microsoft Corp 1985-1993.  All rights reserved.

Library:                  KERNEL
Description:              Microsoft Windows Kernel Interface Version 3.10
Data:                     SHARED
Initialization:           Global
Initial CS:IP:            seg   1 offset ffff99cb
Initial SS:SP:            seg   0 offset 0000
DGROUP:                   seg   4
Heap allocation:          0200 bytes
Runs in protected mode only

no. type address  file  mem   flags
  1 CODE 00001620 0b6cb 0b6cb PRELOAD
  2 CODE 0000cd10 02aac 02aac PRELOAD, (movable), (discardable)
  3 CODE 0000f7e0 00c52 00c54 PRELOAD, (movable), (discardable)
  4 DATA 00010450 013e2 013e2 SHARED, PRELOAD


Exports:
ord seg offset name
 38   1  760a  SETTASKSIGNALPROC exported
326   2  1e9c  ISROMFILE exported
201   1  9284  REPLACEINST exported
 64   1  0140  ACCESSRESOURCE exported
156   1  3ed2  LIMITEMSPAGES exported
 50   2  019e  GETPROCADDRESS exported
350   1  4691  _HWRITE exported
174 254  a000  __A000H exported
 90   1  7ac8  LSTRLEN exported
168   1  7c8a  DIRECTRESALLOC exported
135   3  007e  GETSYSTEMDIRECTORY exported
351   1  572b  BUNNY_351 exported
 97   3  00dc  GETTEMPFILENAME exported
132   3  07ab  GETWINFLAGS exported
181 254  b000  __B000H exported
 45   2  0244  LOADMODULE exported
185   1  1303  GLOBALDOSFREE exported
203   1  8c40  DEBUGBREAK exported
337   1  44ee  ISBADSTRINGPTR exported
  6   1  05ad  LOCALREALLOC exported
 11   1  853c  LOCALHANDLE exported
 89   1  7b51  LSTRCAT exported
 21   1  027b  GLOBALHANDLE exported
195 254  c000  __C000H exported
182 254  b800  __B800H exported
 86   1  053c  _LWRITE exported
  5   1  0569  LOCALALLOC exported
205   1  8f96  CVWBREAK exported
  3   3  07c6  GETVERSION exported
123   1  3ed8  KBDRST exported
109   1  1205  SWITCHSTACKBACK exported
155   1  1168  GETTASKDS exported
179 254  d000  __D000H exported
 54   2  0219  GETINSTANCEDATA exported
 73   1  01fd  GETATOMHANDLE exported
 71   1  01b9  DELETEATOM exported
125   1  943d  DISABLEKERNEL exported
190 254  e000  __E000H exported
 67   3  002e  SETRESOURCEHANDLER exported
 61   1  0126  LOADRESOURCE exported
355   1  96a6  GETWINDEBUGINFO exported, shared data
325   1  8cba  LOGPARAMERROR exported, shared data
175   1  1bea  ALLOCSELECTOR exported
 91   2  2688  INITTASK exported
140   3  068c  SETSIGHANDLER exported
136   3  0675  GETDRIVETYPE exported
194 254  f000  __F000H exported
 57   1  0689  GETPROFILEINT exported, shared data
 46   2  0176  FREEMODULE exported
 69   1  41e2  FINDATOM exported
106   1  2b7e  SETSWAPAREASIZE exported
 14   2  0278  LOCALNOTIFY exported
332   4  0218  THHOOK exported
315   1  6925  WRITEOUTPROFILES exported, shared data
196   1  2555  SELECTORACCESSRIGHTS exported
133   1  4718  GETEXEPTR exported
334   1  4402  ISBADREADPTR exported
324   1  8ca1  LOGERROR exported, shared data
157   1  3ed9  GETCURPID exported
 62   1  018b  LOCKRESOURCE exported
 31   1  75d7  POSTEVENT exported
 16   1  02a3  GLOBALREALLOC exported
356   1  96b2  SETWINDEBUGINFO exported, shared data
323   2  1e97  ISROMMODULE exported
 17   1  025e  GLOBALFREE exported
186   1  1f04  GETSELECTORBASE exported
 41   1  943a  ENABLEDOS exported
  1   1  8ba0  FATALEXIT exported, shared data
103   1  9595  NETBIOSCALL exported
116   2  278b  INITLIB exported
 75   3  04be  OPENPATHNAME exported
 49   2  01e6  GETMODULEFILENAME exported
 63   1  0177  FREERESOURCE exported
207   1  7bf7  ISDBCSLEADBYTE exported
 12   1  05f7  LOCALFLAGS exported
314   1  8fe7  DEBUGDEFINESEGMENT exported
160   1  98f0  EMSCOPY exported
 70   1  41df  ADDATOM exported
 66   1  015d  ALLOCRESOURCE exported
336   1  44c8  ISBADCODEPTR exported
154   1  0372  GLOBALNOTIFY exported
349   1  468c  _HREAD exported
176   1  00f8  FREESELECTOR exported
172   1  1bfb  ALLOCALIAS exported
187   1  24d9  SETSELECTORBASE exported
 24   1  03ed  UNLOCKSEGMENT exported
206   1  1cb8  ALLOCSELECTORARRAY exported
178 254  0001  __WINFLAGS exported
108   1  118f  SWITCHSTACKTO exported
 15   1  022b  GLOBALALLOC exported
 29   1  756c  YIELD exported
 48   2  01d2  GETMODULEUSAGE exported
118   1  75ec  GETTASKQUEUEDS exported
 94   3  03ce  DEFINEHANDLETABLE exported
 82   1  050c  _LREAD exported
119   1  75fa  GETTASKQUEUEES exported
 60   3  0008  FINDRESOURCE exported


